ac1clbxta,Club Xtra 
ac1cshtw,Cash Towers 
ac1dbldx,Double Deluxe 
ac1gogld,Go For Gold 
ac1hideh,Hi De Hi Deluxe 
ac1hideha,Hi De Hi Deluxe 
ac1hotpf,Hot Profit 
ac1nudbk,Nudge Break 
ac1nudbka,Nudge Break 
ac1nudbkb,Nudge Break 
ac1nudbkc,Nudge Break 
ac1nudbkd,Nudge Break 
ac1piaca,Play It Again Casino 
ac1piacl,Play It Again Club 
ac1piacla,Play It Again Club 
ac1piaclb,Play It Again Club 
ac1piaclc,Play It Again Club 
ac1primt,Primetime 
ac1prmcl,Premier Club 
ac1prmcla,Premier Club 
ac1prmclb,Premier Club 
ac1prmclc,Premier Club 
ac1pster,Pound Sterling 
ac1pstrt,Pound Stretcher 
ac1roll,Roll Up 
ac1rolla,Roll Up 
ac1rollb,Roll Up 
ac1rundx,Runner Deluxe Club 
ac1rundxa,Runner Deluxe Club 
ac1scch,Amateurcomputer AC1 SCCH 
ac1shid,Super Hi De Hi 
ac1shida,Super Hi De Hi 
ac1sstrk,Starstruck 
ac1sstrka,Starstruck 
ac1sstrkb,Starstruck 
ac1taklv,Take It Or Leave It 
ac1totb,Top Of The Bill 
ac1unk,unknown Ace System 1 game 
ac1xpres,Xpress 
academy,Mephisto Academy 
academyg,Mephisto Academy 
academyga,Mephisto Academy 
acchi,Janken Game Acchi Muite Hoi! 
accomm,Acorn Communicator 
accommb,Acorn Briefcase Communicator 
accommi,Acorn Communicator 
accommp,Acorn Communicator 
acd,unknown ACD computer 
ace,Ace 
ace100,Franklin ACE 100 
ace1000,Franklin ACE 1000 
ace2200,Franklin ACE 2200 
ace500,Franklin ACE 500 
aceattac,Ace Attacker 
aceattaca,Ace Attacker 
acedrive,Ace Driver: Racing Evolution 
aceex2814,Aceex 2814 
acefruit,Silhouette 
acheart,Arcana Heart 
acheartf,Arcana Heart Full 
acitya,Atlantic City Action 
aclown,Clown 
acombat,Astro Combat 
acombat3,Astro Combat 
acombat4,Astro Combat 
acombato,Astro Combat 
acommand,Alien Command 
acr20,ACR-20 Digital Accompaniment Center 
acrnsys1,Acorn System 1 
acrnsys2,Acorn System 2 
acrnsys3,Acorn System 3 
acrnsys3_6809,Acorn System 3 
acrnsys4,Acorn System 4 
acrnsys5,Acorn System 5 
acrobatm,Acrobat Mission 
acrobatmbl,Acrobat Mission 
act2000,Action 2000 
act2000b1,Action 2000 
act2000bx,Action 2000 
act2000d1,Action 2000 
act2000dx,Action 2000 
act2000o,Action 2000 
act2000o2,Action 2000 
act2000o3,Action 2000 
act2000v1,Action 2000 
act2000vx,Action 2000 
act5a,ACT-5A 
actfancr,Act-Fancer Cybernetick Hyper Weapon 
actfancr1,Act-Fancer Cybernetick Hyper Weapon 
actfancr2,Act-Fancer Cybernetick Hyper Weapon 
actfancrj,Act-Fancer Cybernetick Hyper Weapon 
actionhw,Action Hollywood 
acw443,ABC 210/Cambridge Workstation 
ad2083,A. D. 2083 
ad4ctl,Cop The Lot Club 
ad4ctla,Cop The Lot Club 
ad4film,Film Premiere 
ad4filma,Film Premiere 
ad4skill,Skill Dice 
ad5bpfpm,Bullseye Pounds For Points 
ad5bpfpma,Bullseye Pounds For Points 
ad5bpfpmb,Bullseye Pounds For Points 
ad5bpfpmc,Bullseye Pounds For Points 
ad5bpfpmd,Bullseye Pounds For Points 
ad5btc,Bullseye Triple Club 
ad5btca,Bullseye Triple Club 
ad5btcb,Bullseye Triple Club 
ad5cmons,Crazy Money 
ad5cmonsa,Crazy Money 
ad5copsr,Cops 'n' Robbers 
ad5copsr0,Cops 'n' Robbers 
ad5copsr1,Cops 'n' Robbers 
